Código de Conexión,Equipo,Tipo de la observación,Fecha de la Observación,Código de la observación,Lectura de contador,Toda la lectura de contador del tiempo,Edad componente,Intervalo de la observación,días,Valoración de la Observación,Grado de Trakka,Edad del lubricante,Uso,Lubricante drenado,Agredado,Valoración del Estado Asignada,Notas sobre la Revisión del Estado,Otras recomendaciones,Efecto de Falla,Revisado,Revisor,Resumen de la Acción,Boro (ppm),Calcio (ppm),Cinc (ppm),Fosforado (ppm),Magnesio (ppm),Molibdeno (ppm),Agua (%),Nitración JOAP (Abs/cm),Oxidación JOAP (Abs/cm),Silicio (ppm),Sodio (ppm),Sulfatación JOAP (Abs/cm),Viscosidad @ 100°C (cSt),ISO 4406:1999 > 04µ,ISO 4406:1999 > 06µ,ISO 4406:1999 > 14µ,Aluminio (ppm),Cobre (ppm),Cromo (ppm),Hierro (ppm),Plomo (ppm),Bario (ppm),Cadmio (ppm),Estaño (ppm),Niquel (ppm),Fecha Calculada,Año,Mes,Flota
0060138 ZSHI,60138,Análisis flúido,17/10/2025,0060138 ZSHI 20251017,"34636,04","34697,64","34697,64",181,12,Normal,Crítico,,"34697,64",No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,22/10/2025 9:27:59 a. m.,jbenitez2,,,"126,13","64,35","152,15",,"0,01",,2,21,"5,23",,27,,17,15,7,"2,91","8,7","3,26","8,48","0,39",,,,,17/10/2025,2025,10,EX3600
0060138 ZSHI,60138,Análisis flúido,5/10/2025,0060138 ZSHI 20251005,"34455,04","34516,64","34516,64","472,3",37,Normal,Crítico,,"34516,64",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, tu soporte con la apertura de una OT tipo TR con P3 envertanarla el dia 27/10/2025  la siguiente recomendación:    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)",,Altos metales de desgaste,15/10/2025 11:34:38 a. m.,jbenitez2,,,"160,47","83,54","227,13",,"0,87",,2,19,"7,27",,26,"9,7",21,19,16,"3,7","10,82","5,07","9,85",0,,,,,5/10/2025,2025,10,EX3600
0060138 ZSHI,60138,Análisis flúido,29/08/2025,0060138 ZSHI 20250829,"33982,74","34044,34","34044,34","419,8",25,Normal,Crítico,,"34044,34",No,0,Advertencia,"  Asistente, tu soporte con la apertura de una OT tipo TR con P3 envertanarla el dia 15/9/2025 y la siguiente recomendación:    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)    ",,Ninguna falla identificada,8/09/2025 1:45:05 p. m.,jbenitez2,,,"70,84","14,4","121,01",,0,,2,21,"1,55",,28,"10,944",20,18,16,0,"0,07","0,3","0,67",0,,,,,29/08/2025,2025,08,EX3600
0060138 ZSHI,60138,Análisis flúido,4/08/2025,0060138 ZSHI 20250804,"33562,94","33624,54","33624,54","203,2",11,Normal,Crítico,,"33624,54",No,0,Advertencia,YA SE TIENE UNA ORDEN ABIERTA PARA ESTE COMPONENTE #1502862,,Ninguna falla identificada,11/08/2025 10:50:11 a. m.,jbenitez2,,,"67,29","9,3","98,14",,"0,43",,2,21,"0,93",,28,"11,002",21,20,17,"0,2","0,07",0,"0,27",0,,,,,4/08/2025,2025,08,EX3600
0060138 ZSHI,60138,Análisis flúido,24/07/2025,0060138 ZSHI 20250724,"33359,74","33421,34","33421,34","251,5",14,Normal,Crítico,,"33421,34",No,0,Advertencia,YA SE TIENE UNA ORDEN ABIERTA PARA ESTE COMPONENTE #1502862,,Ninguna falla identificada,28/07/2025 4:12:10 p. m.,jbenitez2,,,"110,05","30,95","42,7",,0,,3,22,"13,06",,27,"9,84",23,21,16,"8,31","0,94","6,56","13,7",0,,,,,24/07/2025,2025,07,EX3600
0060138 ZSHI,60138,Análisis flúido,10/07/2025,0060138 ZSHI 20250710,"33108,24","33169,84","33169,84","196,5",11,Normal,Crítico,,"33169,84",No,0,Advertencia,"  Los predictores del codigo ISO de limpieza estan en rango de advertencia.    Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones.    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)  ",,Ninguna falla identificada,15/07/2025 5:28:28 p. m.,jbenitez2,,,"120,82","84,28","182,19",,0,,3,22,"12,67",,27,"9,81",22,20,16,6,"1,3","7,6","16,28",0,,,,,10/07/2025,2025,07,EX3600
0060138 ZSHI,60138,Análisis flúido,29/06/2025,0060138 ZSHI 20250629,"32911,74","32973,34","32973,34","527,2",34,Normal,Crítico,,"32973,34",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.    Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones.    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)  ",,Ninguna falla identificada,1/07/2025 3:05:21 p. m.,jbenitez2,,,"105,13","61,08","106,44",,0,,3,21,"10,52",,27,"9,87",19,18,14,"5,25","0,75","6,74","12,08","0,57",,,,,29/06/2025,2025,06,EX3600
0060138 ZSHI,60138,Análisis flúido,26/05/2025,0060138 ZSHI 20250526,"32384,54","32446,14","32446,14","394,3",29,Normal,Crítico,,"32446,14",No,0,Crítico,YA SE TIENE UNA ACCION PARA ESTE COMPONENTE OT 1460879,,Ninguna falla identificada,28/05/2025 11:41:16 a. m.,jbenitez2,,,"109,88","73,35","123,72",,"0,53",,3,21,"11,04",,27,"9,92",21,20,16,"5,81","0,92","5,21","13,36","0,12",,,,,26/05/2025,2025,05,EX3600
0060138 ZSHI,60138,Análisis flúido,27/04/2025,0060138 ZSHI 20250427,"31990,24","32051,84","32051,84","934,67",56,Normal,Crítico,,"32051,84",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.    Asistente, abre una OT tipo TR P3 con las siguientes recomendaciones.    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)    ",,Ninguna falla identificada,5/05/2025 1:50:44 p. m.,jbenitez2,,,"118,8","76,08","124,35",,0,,,,"11,2",,,,21,19,15,"5,95","1,03","6,15","11,98","2,1",,,,,27/04/2025,2025,04,EX3600
0060138 ZSHI,60138,Análisis flúido,2/03/2025,0060138 ZSHI 20250302,"31055,57","31117,17","31117,17","608,8",38,Normal,Crítico,,"31117,17",No,0,Normal,"EQUIPO EN PARAMETROS NORMALES , SE TENDRA BAJO MONITOREO.  ",,Ninguna falla identificada,28/04/2025 2:54:00 p. m.,jbenitez2,,,"70,27","49,92","104,29",,0,,,,"6,6",,,"10,109",19,17,13,"2,88","0,98","2,24","6,01",0,,,,,2/03/2025,2025,03,EX3600
0060138 ZSHI,60138,Análisis flúido,23/01/2025,0060138 ZSHI 20250123,"30446,77","30508,37","30508,37","48,8",3,Normal,Crítico,,"30508,37",No,0,Advertencia,Condicion identificada anteriormente y procesada con la OT # 1402613.,,Entrada de polvo,29/01/2025 12:49:29 p. m.,lrodriguez,Acción: Cambiar los filtros (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Accepted  Notas de Aceptación en 2025-02-28 14:45:46 por hpineda:      ,,"54,91","66,57","105,27",,"0,19",,2,21,"4,02",,27,"10,077",22,20,17,"1,46","1,19","0,21","9,25",0,,,,,23/01/2025,2025,01,EX3600
0060138 ZSHI,60138,Análisis flúido,20/01/2025,0060138 ZSHI 20250120,"30397,97","30459,57","30459,57","233,7",33,Normal,Crítico,,"30459,57",No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.    Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones.    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)    ",,Entrada de polvo,27/01/2025 6:42:20 p. m.,lrodriguez,Acción: Cambiar los filtros (Prioridad: 2 - Acción dentro de las dos Paradas Programadas (Máxi)  Situación: Recommended      ,,"79,9","19,54","119,81",,0,,,,"3,49",,,"10,731",22,20,17,"1,38","0,39","0,62","1,82","1,15",,,,,20/01/2025,2025,01,EX3600
0060138 ZSHI,60138,Análisis flúido,18/12/2024,0060138 ZSHI 20241218,"30164,27","30225,87","30225,87","64,4",4,Normal,Crítico,,"30225,87",No,0,Advertencia,Condicion identificada y procesada con resultados anteriores.,,Entrada de polvo,21/12/2024 4:26:06 p. m.,lrodriguez,Acción: Cambiar los filtros (Prioridad: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Situación: Recommended      ,,"72,62","73,75","147,08",,0,,,,"5,51",,,"9,79",19,17,14,"2,54","1,65","0,25","5,44","0,88",,,,,18/12/2024,2024,12,EX3600
0060138 ZSHI,60138,Análisis flúido,14/12/2024,0060138 ZSHI 20241214,"30099,87","30161,47","30161,47","449,2",34,Normal,Crítico,,"30161,47",No,0,Advertencia,Filtros programados para su PM el 24 de diciembre y el cambio de aceite en la parada anual de enero.,,Deterioro de la condición del fluido,21/12/2024 1:14:58 p. m.,lrodriguez,Acción: Cambiar los filtros (Prioridad: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Situación: Recommended      ,,"63,14","79,85","102,75",,0,,2,19,"19,01",,25,"9,83",24,22,17,"2,95","1,44","0,33","6,3","0,52",,,,,14/12/2024,2024,12,EX3600
0060138 ZSHI,60138,Análisis flúido,10/11/2024,0060138 ZSHI 20241110,"29650,67","29712,27","29712,27",179,14,Normal,Advertencia,,"29712,27",No,0,Advertencia,"Los conteos de partículas son ligeramente elevados, sin embargo mínimos. Teniendo en cuenta que todos los otros predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  Particle counts are slightly elevated, However minimal. Considering all other predictors remain within acceptable limits, continue to monitor closely.  ",,Alto conteo de partículas,15/11/2024 8:44:33 p. m.,sysadmin,,,"66,92","91,03","145,7",,0,,,,"5,1",,,"9,96",22,20,17,"2,26","2,08","0,31","4,63","0,9",,,,,10/11/2024,2024,11,EX3600
0060138 ZSHI,60138,Análisis flúido,27/10/2024,0060138 ZSHI 20241027,"29471,67","29533,27","29533,27","444,2",34,Normal,Crítico,,"29533,27",No,0,Advertencia,"Se programa cambio de aceite, equipo proximo a PM.",,Entrada de polvo,19/11/2024 5:57:19 p. m.,lrodriguez,,,"59,9","198,86","127,45",,0,"0,5",3,13,"7,33",,20,,23,21,17,"3,55","1,83","0,36","9,65","1,03",,,,,27/10/2024,2024,10,EX3600
0060138 ZSHI,60138,Análisis flúido,23/09/2024,0060138 ZSHI 20240923,"29027,47","29089,07","29089,07","732,4",54,Normal,Normal,,"29089,07",No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,24/09/2024 9:45:25 p. m.,sysadmin,,,"62,83","213,37","215,34",,"3,21",,,,"7,31",,,"9,174",18,15,12,"3,12","1,54","0,39","6,44",0,,,,,23/09/2024,2024,09,EX3600
0060138 ZSHI,60138,Análisis flúido,31/07/2024,0060138 ZSHI 20240731,"28295,07","28356,67","28356,67","633,2",42,Normal,Normal,,"28356,67",No,0,Normal,"Predictores dentro de rangos normales, seguir monitoreando de cerca.",,Ninguna falla identificada,8/08/2024 11:47:49 p. m.,lrodriguez,,,"54,69","372,9","192,88",,0,,,,"6,04",,,,18,17,14,"2,51","1,75","0,17","5,15",0,,,,,31/07/2024,2024,07,EX3600
0060138 ZSHI,60138,Análisis flúido,19/06/2024,0060138 ZSHI 20240619,"27661,87","27723,47","27723,47","172,2",11,Normal,Advertencia,,"27723,47",No,0,Advertencia,"Los conteos de partículas son ligeramente elevados, sin embargo mínimos. Teniendo en cuenta que todos los otros predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  Particle counts are slightly elevated, However minimal. Considering all other predictors remain within acceptable limits, continue to monitor closely.  ",,Alto conteo de partículas,24/06/2024 7:57:56 a. m.,sysadmin,,,"44,78","391,94","330,32",,0,,,,"0,95",,,,22,20,17,0,"0,48",0,0,0,,,,,19/06/2024,2024,06,EX3600
0060138 ZSHI,60138,Análisis flúido,8/06/2024,0060138 ZSHI 20240608,"27489,67","27551,27","27551,27","261,2",18,Normal,Advertencia,,"27551,27",No,0,Advertencia,"Los conteos de partículas son ligeramente elevados, sin embargo mínimos. Teniendo en cuenta que todos los otros predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  Particle counts are slightly elevated, However minimal. Considering all other predictors remain within acceptable limits, continue to monitor closely.  ",,Alto conteo de partículas,18/06/2024 4:45:25 p. m.,sysadmin,,,"29,49","374,61","276,71",,"0,47",,,,"1,95",,,,21,18,15,"0,31","0,11",0,"0,22",0,,,,,8/06/2024,2024,06,EX3600
0060138 ZSHI,60138,Análisis flúido,21/05/2024,0060138 ZSHI 20240521,"27228,47","27290,07","27290,07","572,3",35,Normal,Crítico,,"27290,07",No,0,Advertencia,"Los conteos de partículas son ligeramente elevados, sin embargo mínimos. Teniendo en cuenta que todos los otros predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  Particle counts are slightly elevated, However minimal. Considering all other predictors remain within acceptable limits, continue to monitor closely.  ",,Alto conteo de partículas,24/05/2024 9:43:20 p. m.,sysadmin,,,"62,22","397,44","310,4",,0,,,,"5,05",,,"8,45",23,21,17,"0,48","1,48",0,"2,58",0,,,,,21/05/2024,2024,05,EX3600
0060138 ZSHI,60138,Análisis flúido,16/04/2024,0060138 ZSHI 20240416,"26656,17","26717,77","26717,77","176,3",10,Normal,Advertencia,,"26717,77",No,0,Advertencia,Aceite programado para cambio el 29 de abril con su filtracion.,,Ninguna falla identificada,27/04/2024 7:56:15 p. m.,lrodriguez,,,"54,82","331,76","331,33",,0,,,,"7,69",,,"8,6",20,18,13,"3,06","2,64","0,53","5,24","0,4",,,,,16/04/2024,2024,04,EX3600
0060138 ZSHI,60138,Análisis flúido,6/04/2024,0060138 ZSHI 20240406,"26479,87","26541,47","26541,47","1351,59",85,Normal,Crítico,,"26541,47",No,0,Crítico,Aceite programado para cambio el 26 de abril con su filtracion.,,Ninguna falla identificada,14/04/2024 11:52:49 p. m.,lrodriguez,,,"67,37","342,04","341,86",,0,,,,"6,26",,,"11,1",23,21,17,"1,33","2,47","0,15","3,96","0,61",,,,,6/04/2024,2024,04,EX3600
0060138 ZSHI,60138,Análisis flúido,12/01/2024,0060138 ZSHI 20240112,"25128,28","25189,88","25189,88","323,1",40,Normal,Normal,,"25189,88",No,0,Normal,Componente en condiciones de operacion normales,,Ninguna falla identificada,17/01/2024 6:11:22 a. m.,fpertuz,,,"76,94","413,87","265,82",,"0,1",,,,"3,72",,,,20,17,13,"0,7","1,33","0,24","1,81","0,1",,,,,12/01/2024,2024,01,EX3600
0060138 ZSHI,60138,Análisis flúido,3/12/2023,0060138 ZSHI 20231203,"24805,18","24866,78","24866,78","220,3",12,Normal,Crítico,,"24866,78",No,0,Crítico,"el predictor de silicio se encuentra en critico y el predictor de cobre,hierro se encuentra en advertencia.","    Favor abrir una OT tipo TR P3 con las siguientes recomendaciones.    1. Realizar test hidráulico.  2. Inspeccionar fuentes de desgaste anormal, revise alarmas de contaminación del equipo y tiempos de ciclo por movimiento, medición de parámetros de componentes hidráulicos.  3. Verifique las presiones de drenaje de todos los componentes del sistema (Bombas y motores).  4. Cambie los desfogues del tanque hidráulico.  5. Cambie los filtros del sistema (By pass, drenaje, flujo pleno y alta eficiencia),   NOTA: favor  entregar  filtración desmontada, previamente preservada  a Jesus Benitez  para efectuar corte y análisis de tamiz     ",Ninguna falla identificada,7/12/2023 9:51:05 a. m.,fpertuz,,,"54,26","366,82","244,99",,"0,23",,,,"10,77",,,"8,72",24,23,20,"3,78","6,76","1,56","9,59",0,,,,,3/12/2023,2023,12,EX3600
0060138 ZSHI,60138,Análisis flúido,21/11/2023,0060138 ZSHI 20231121,"24584,88","24646,48","24646,48","227,3",14,Normal,Advertencia,,"24646,48",No,0,Advertencia,"el predictor de silicio, cobre y hierro se encuentra en estado de advertencia ","Los predictores de silicio en advertencia y hierro en crítico.  1. Inspeccionar fuentes de desgaste anormal, revise alarmas de contaminación del equipo y tiempos de ciclo por movimiento, medición de parámetros de componentes hidráulicos  2. Verifique las presiones de drenaje de todos los componentes del sistema (Bombas y motores).  3. Programar el cambio de toda la filtración: By pass, flujo pleno, drenaje y alta eficiencia  4. Cambie los desfogues del tanque hidráulico.  5. Tomar muestra de aceite hco.  ",Ninguna falla identificada,27/11/2023 12:48:14 p. m.,fpertuz,,,"61,02","373,44","239,39",,0,,,,"9,48",,,"8,73",19,18,14,"3,38","5,18","1,56","7,81",0,,,,,21/11/2023,2023,11,EX3600
0060138 ZSHI,60138,Análisis flúido,7/11/2023,0060138 ZSHI 20231107,"24357,58","24419,18","24419,18","88,5",8,Normal,Normal,,"24419,18",No,0,Normal,Componente en condiciones de operacion normales,Componente en condiciones de operacion normales,Ninguna falla identificada,11/11/2023 4:32:53 p. m.,fpertuz,,,"37,92","358,64","305,6",,0,,,,"1,82",,,"8,8",19,17,14,"0,25","0,05",0,"0,48","0,12",,,,,7/11/2023,2023,11,EX3600
0060138 ZSHI,60138,Análisis flúido,30/10/2023,0060138 ZSHI 20231030,"24269,08","24330,68","24330,68","519,9",36,Normal,Advertencia,,"24330,68",No,0,Normal,,,Ninguna falla identificada,11/11/2023 4:46:50 p. m.,fpertuz,,,"66,7","347,03","324,49",,0,,,,"9,15",,,"8,75",15,14,11,"2,65","3,86","1,38","8,06",0,,,,,30/10/2023,2023,10,EX3600
0060138 ZSHI,60138,Análisis flúido,24/09/2023,0060138 ZSHI 20230924,"23749,18","23810,78","23810,78","340,7",26,Crítico,Advertencia,,"23810,78",No,0,Advertencia,Los predictores de silicio y hierro en advertencia,"Los predictores de silicio en advertencia y hierro en crítico.  1. Inspeccionar fuentes de desgaste anormal, revise alarmas de contaminación del equipo y tiempos de ciclo por movimiento, medición de parámetros de componentes hidráulicos  2. Verifique las presiones de drenaje de todos los componentes del sistema (Bombas y motores).  3. Programar el cambio de toda la filtración: By pass, flujo pleno, drenaje y alta eficiencia  4. Cambie los desfogues del tanque hidráulico.  5. Tomar muestra de aceite hco.  ",Ninguna falla identificada,4/10/2023 2:24:57 p. m.,fpertuz,,,"65,83","374,68","262,92",,"0,12",,,,"8,32",,,"8,77",20,19,14,"3,88","3,94","1,98","8,19","0,52",,,,,24/09/2023,2023,09,EX3600
0060138 ZSHI,60138,Análisis flúido,29/08/2023,0060138 ZSHI 20230829,"23408,48","23470,08","23470,08","318,8",20,Normal,Crítico,,"23470,08",No,0,Crítico,"El predictor hierro , cobre , cromo  y silicio en criticidad. ","El predictor hierro , cobre , cromo  y silicio en criticidad.     Favor abrir una OT tipo TR P3 con las siguientes recomendaciones.    1. Realizar test hidráulico.  2. Inspeccionar fuentes de desgaste anormal, revise alarmas de contaminación del equipo y tiempos de ciclo por movimiento, medición de parámetros de componentes hidráulicos.  3. Verifique las presiones de drenaje de todos los componentes del sistema (Bombas y motores).  4. Cambie los desfogues del tanque hidráulico.  5. Cambie los filtros del sistema (By pass, drenaje, flujo pleno y alta eficiencia),   NOTA: favor  entregar  filtración desmontada, previamente preservada  a Harold Diaz para efectuar corte y análisis de tamiz     ",Ninguna falla identificada,4/09/2023 3:24:21 p. m.,fpertuz,,,"74,11","340,99","343,17",,"2,26",,,,"16,81",,,,26,25,20,"4,19","4,31","3,08","12,2",0,,,,,29/08/2023,2023,08,EX3600
0060138 ZSHI,60138,Análisis flúido,9/08/2023,0060138 ZSHI 20230809,"23089,68","23151,28","23151,28","429,9",30,Normal,Normal,,"23151,28",No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,14/08/2023 8:01:50 a. m.,sysadmin,,,"39,18","343,43","337,47",,0,,,,"2,2",,,"8,75",20,19,16,0,"0,07","0,05","0,09",0,,,,,9/08/2023,2023,08,EX3600
